Input.image_url,Answer.face.label
0001B.jpg,Smile
0001B.jpg,Smile
0002B.jpg,Blank expression
0002B.jpg,Wide-eyed
0003B.jpg,Smile
0003B.jpg,Glance
0004B.jpg,Blank expression
0004B.jpg,Blank expression
0005B.jpg,Blank expression
0005B.jpg,Blank expression
0006B.jpg,Frown
0006B.jpg,Frown
0007B.jpg,Blank expression
0007B.jpg,Blank expression
0008B.jpg,Blank expression
0008B.jpg,Blank expression
0009B.jpg,Blank expression
0009B.jpg,Blank expression
0010B.jpg,Frown
0010B.jpg,Frown
0011B.jpg,Smile
0011B.jpg,Glance
0012B.jpg,Wide-eyed
0012B.jpg,Blank expression
0013B.jpg,Blank expression
0013B.jpg,Quizzical expression
0014B.jpg,Wide-eyed
0014B.jpg,Blank expression
0015B.jpg,Blank expression
0015B.jpg,Glance
0016B.jpg,Glance
0016B.jpg,Blank expression
0017B.jpg,Smile
0017B.jpg,Smile
0018B.jpg,Wide-eyed
0018B.jpg,Blank expression
0019B.jpg,Jaw dropped
0019B.jpg,Stick the tongue out
0020B.jpg,Blank expression
0020B.jpg,Blank expression
0021B.jpg,Blank expression
0021B.jpg,Blank expression
0022B.jpg,Blank expression
0022B.jpg,Glance
0023B.jpg,Glance
0023B.jpg,Glance
0024B.jpg,Blank expression
0024B.jpg,Blank expression
0025B.jpg,Blank expression
0025B.jpg,Quizzical expression
0026B.jpg,Blank expression
0026B.jpg,Blank expression
0027B.jpg,Blank expression
0027B.jpg,Long face
0028B.jpg,Blank expression
0028B.jpg,Frown
0029B.jpg,Frown
0029B.jpg,Blank expression
0030B.jpg,Blank expression
0030B.jpg,Blank expression
0031B.jpg,Long face
0031B.jpg,Blank expression
0032B.jpg,Blank expression
0032B.jpg,Blank expression
0033B.jpg,Blank expression
0033B.jpg,Glance
0034B.jpg,Blank expression
0034B.jpg,Blank expression
0035B.jpg,Blank expression
0035B.jpg,Glance
0036B.jpg,Smile
0036B.jpg,Smile
0037B.jpg,Smile
0037B.jpg,Blank expression
0038B.jpg,Smile
0038B.jpg,Smile
0039B.jpg,Blank expression
0039B.jpg,Glance
0040B.jpg,Frown
0040B.jpg,Blank expression
0041B.jpg,Blank expression
0041B.jpg,Long face
0042B.jpg,Frown
0042B.jpg,Quizzical expression
0043B.jpg,Blank expression
0043B.jpg,Glance
0044B.jpg,Blank expression
0044B.jpg,Glance
0045B.jpg,Blank expression
0045B.jpg,Blank expression
0046B.jpg,Blank expression
0046B.jpg,Blank expression
0047B.jpg,Blank expression
0047B.jpg,Blank expression
0048B.jpg,Blank expression
0048B.jpg,Glance
0049B.jpg,Blank expression
0049B.jpg,Glance
0050B.jpg,Smile
0050B.jpg,Smile
0051B.jpg,Smile
0051B.jpg,Blank expression
0052B.jpg,Blank expression
0052B.jpg,Blank expression
0053B.jpg,Smile
0053B.jpg,Blank expression
0054B.jpg,Frown
0054B.jpg,Blank expression
0055B.jpg,Blank expression
0055B.jpg,Glance
0056B.jpg,Glance
0056B.jpg,Smile
0057B.jpg,Blank expression
0057B.jpg,Blank expression
0058B.jpg,Blank expression
0058B.jpg,Glance
0059B.jpg,Blank expression
0059B.jpg,Glance
0060B.jpg,Long face
0060B.jpg,Quizzical expression
0061B.jpg,Smile
0061B.jpg,Smile
0062B.jpg,Blank expression
0062B.jpg,Blank expression
0063B.jpg,Raise the eyebrows
0063B.jpg,Raise the eyebrows
0064B.jpg,Blank expression
0064B.jpg,Blank expression
0065B.jpg,Blank expression
0065B.jpg,Blank expression
0066B.jpg,Blank expression
0066B.jpg,Blank expression
0067B.jpg,None of the Above
0067B.jpg,Blank expression
0068B.jpg,Smile
0068B.jpg,Smile
0069B.jpg,Blank expression
0069B.jpg,Glance
0070B.jpg,None of the Above
0070B.jpg,Wrinkle the nose
0071B.jpg,Smile
0071B.jpg,Smile
0072B.jpg,Long face
0072B.jpg,Blank expression
0073B.jpg,Blank expression
0073B.jpg,Blank expression
0074B.jpg,Blank expression
0074B.jpg,Glance
0075B.jpg,Glance
0075B.jpg,Wrinkle the nose
0076B.jpg,Blank expression
0076B.jpg,Glance
0077B.jpg,Blank expression
0077B.jpg,Blank expression
0078B.jpg,Blank expression
0078B.jpg,Blank expression
0079B.jpg,Smile
0079B.jpg,Glance
0080B.jpg,Blank expression
0080B.jpg,Blank expression
0081B.jpg,Blank expression
0081B.jpg,Blank expression
0082B.jpg,Blank expression
0082B.jpg,Blank expression
0083B.jpg,Glance
0083B.jpg,Quizzical expression
0084B.jpg,Blank expression
0084B.jpg,Blank expression
0085B.jpg,Blank expression
0085B.jpg,Glance
0086B.jpg,Wide-eyed
0086B.jpg,Frown
0087B.jpg,Smile
0087B.jpg,Smile
0088B.jpg,Frown
0088B.jpg,Frown
0089B.jpg,Blank expression
0089B.jpg,Smile
0090B.jpg,Smile
0090B.jpg,Smile
0091B.jpg,Frown
0091B.jpg,Frown
0092B.jpg,Glance
0092B.jpg,Glance
0093B.jpg,Blank expression
0093B.jpg,Blank expression
0094B.jpg,Blank expression
0094B.jpg,Glance
0095B.jpg,Glance
0095B.jpg,Glance
0096B.jpg,Blank expression
0096B.jpg,Blank expression
0097B.jpg,Glance
0097B.jpg,Long face
0098B.jpg,Smile
0098B.jpg,Smile
0099B.jpg,None of the Above
0099B.jpg,Glance
0100B.jpg,Smile
0100B.jpg,Smile
0101B.jpg,Smile
0101B.jpg,Smile
0102B.jpg,Quizzical expression
0102B.jpg,Blank expression
0103B.jpg,Frown
0103B.jpg,Raise the eyebrows
0104B.jpg,Blank expression
0104B.jpg,Blank expression
0105B.jpg,Wide-eyed
0105B.jpg,Quizzical expression
0106B.jpg,Smile
0106B.jpg,Smile
0107B.jpg,Blank expression
0107B.jpg,Wide-eyed
0108B.jpg,Blank expression
0108B.jpg,Blank expression
0109B.jpg,None of the Above
0109B.jpg,Glance
0110B.jpg,Stick the tongue out
0110B.jpg,Frown
0111B.jpg,Blank expression
0111B.jpg,Blank expression
0112B.jpg,Frown
0112B.jpg,Frown
0113B.jpg,Frown
0113B.jpg,Frown
0114B.jpg,Blank expression
0114B.jpg,Blank expression
0115B.jpg,Smile
0115B.jpg,Smile
0116B.jpg,Smile
0116B.jpg,Blank expression
0117B.jpg,Blank expression
0117B.jpg,Blank expression
0118B.jpg,None of the Above
0118B.jpg,None of the Above
0119B.jpg,Long face
0119B.jpg,Blank expression
0120B.jpg,Smile
0120B.jpg,Glance
0121B.jpg,Blank expression
0121B.jpg,Glance
0122B.jpg,Blank expression
0122B.jpg,Blank expression
0123B.jpg,Smile
0123B.jpg,Smile
0124B.jpg,Blank expression
0124B.jpg,Glance
0125B.jpg,Smile
0125B.jpg,Smile
0126B.jpg,Blank expression
0126B.jpg,Stick the tongue out
0127B.jpg,Smile
0127B.jpg,Smile
0128B.jpg,Jaw dropped
0128B.jpg,Frown
0129B.jpg,Blank expression
0129B.jpg,Blank expression
0130B.jpg,Blank expression
0130B.jpg,Blank expression
0131B.jpg,Smile
0131B.jpg,Smile
0132B.jpg,Smile
0132B.jpg,Smile
0133B.jpg,Smile
0133B.jpg,Blank expression
0134B.jpg,Glance
0134B.jpg,Blank expression
0135B.jpg,Blank expression
0135B.jpg,Blank expression
0136B.jpg,Frown
0136B.jpg,Frown
0137B.jpg,Long face
0137B.jpg,Wide-eyed
0138B.jpg,Blank expression
0138B.jpg,Smile
0139B.jpg,Frown
0139B.jpg,Frown
0140B.jpg,Raise the eyebrows
0140B.jpg,Raise the eyebrows
0141B.jpg,Blank expression
0141B.jpg,Wide-eyed
0142B.jpg,Smile
0142B.jpg,Smile
0143B.jpg,Frown
0143B.jpg,Frown
0144B.jpg,Wide-eyed
0144B.jpg,None of the Above
0145B.jpg,Blank expression
0145B.jpg,Blank expression
0146B.jpg,Raise the eyebrows
0146B.jpg,Blank expression
0147B.jpg,Blank expression
0147B.jpg,Blank expression
0148B.jpg,Long face
0148B.jpg,Glance
0149B.jpg,Smile
0149B.jpg,Smile
0150B.jpg,Glance
0150B.jpg,Quizzical expression
0151B.jpg,Long face
0151B.jpg,Glance
0152B.jpg,Blank expression
0152B.jpg,Glance
0153B.jpg,Stick the tongue out
0153B.jpg,None of the Above
0154B.jpg,Frown
0154B.jpg,Frown
0155B.jpg,Blank expression
0155B.jpg,Blank expression
0156B.jpg,Quizzical expression
0156B.jpg,Glance
0157B.jpg,Smile
0157B.jpg,Smile
0158B.jpg,Glance
0158B.jpg,Glance
0159B.jpg,Blank expression
0159B.jpg,Blank expression
0160B.jpg,Smile
0160B.jpg,Smile
0161B.jpg,Glance
0161B.jpg,Wide-eyed
0162B.jpg,Glance
0162B.jpg,Quizzical expression
0163B.jpg,Blank expression
0163B.jpg,Blank expression
0164B.jpg,Blank expression
0164B.jpg,Blank expression
0165B.jpg,Smile
0165B.jpg,Smile
0166B.jpg,Blank expression
0166B.jpg,Smile
0167B.jpg,Smile
0167B.jpg,Smile
0168B.jpg,Smile
0168B.jpg,Wide-eyed
0169B.jpg,Smile
0169B.jpg,Smile
0170B.jpg,Blank expression
0170B.jpg,Blank expression
0171B.jpg,Blank expression
0171B.jpg,Blank expression
0172B.jpg,Frown
0172B.jpg,Quizzical expression
0173B.jpg,Wide-eyed
0173B.jpg,Wide-eyed
0174B.jpg,None of the Above
0174B.jpg,Blank expression
0175B.jpg,Frown
0175B.jpg,Frown
0176B.jpg,Blank expression
0176B.jpg,Glance
0177B.jpg,Frown
0177B.jpg,None of the Above
0178B.jpg,Blank expression
0178B.jpg,Glance
0179B.jpg,Blank expression
0179B.jpg,Wide-eyed
0180B.jpg,Blank expression
0180B.jpg,Long face
0181B.jpg,Frown
0181B.jpg,Long face
0182B.jpg,Blank expression
0182B.jpg,Glance
0183B.jpg,Blank expression
0183B.jpg,Blank expression
0184B.jpg,Blank expression
0184B.jpg,Blank expression
0185B.jpg,Blank expression
0185B.jpg,Long face
0186B.jpg,Glance
0186B.jpg,Glance
0187B.jpg,Blank expression
0187B.jpg,Blank expression
0188B.jpg,Frown
0188B.jpg,Frown
0189B.jpg,Smile
0189B.jpg,Smile
0190B.jpg,Jaw dropped
0190B.jpg,Frown
0191B.jpg,Blank expression
0191B.jpg,Blank expression
0192B.jpg,Smile
0192B.jpg,Smile
0193B.jpg,Smile
0193B.jpg,Smile
0194B.jpg,Long face
0194B.jpg,Long face
0195B.jpg,None of the Above
0195B.jpg,Frown
0196B.jpg,Smile
0196B.jpg,Glance
0197B.jpg,Long face
0197B.jpg,Long face
0198B.jpg,Blank expression
0198B.jpg,Blank expression
0199B.jpg,Blank expression
0199B.jpg,Blank expression
0200B.jpg,Blank expression
0200B.jpg,Glance
0201B.jpg,Blank expression
0201B.jpg,Blank expression
0202B.jpg,Blank expression
0202B.jpg,Blank expression
0203B.jpg,Smile
0203B.jpg,Smile
0204B.jpg,Jaw dropped
0204B.jpg,Wide-eyed
0205B.jpg,Blank expression
0205B.jpg,Blank expression
0206B.jpg,Blank expression
0206B.jpg,Smile
0207B.jpg,Blank expression
0207B.jpg,Smile
0208B.jpg,None of the Above
0208B.jpg,Long face
0209B.jpg,Smile
0209B.jpg,Smile
0210B.jpg,Smile
0210B.jpg,Blank expression
0211B.jpg,Blank expression
0211B.jpg,Blank expression
0212B.jpg,Frown
0212B.jpg,Frown
0213B.jpg,Blank expression
0213B.jpg,Glance
0214B.jpg,Blank expression
0214B.jpg,Blank expression
0215B.jpg,Blank expression
0215B.jpg,Blank expression
0216B.jpg,Blank expression
0216B.jpg,Glance
0217B.jpg,Frown
0217B.jpg,Long face
0218B.jpg,Long face
0218B.jpg,Glance
0219B.jpg,Blank expression
0219B.jpg,Blank expression
0220B.jpg,Blank expression
0220B.jpg,Blank expression
0221B.jpg,Blank expression
0221B.jpg,Glance
0222B.jpg,Glance
0222B.jpg,Quizzical expression
0223B.jpg,Blank expression
0223B.jpg,Wide-eyed
0224B.jpg,Wide-eyed
0224B.jpg,Wide-eyed
0225B.jpg,Frown
0225B.jpg,Frown
0226B.jpg,Glance
0226B.jpg,Smile
0227B.jpg,Smile
0227B.jpg,Smile
0228B.jpg,Glance
0228B.jpg,Smile
0229B.jpg,Blank expression
0229B.jpg,Blank expression
0230B.jpg,Blank expression
0230B.jpg,Blank expression
0231B.jpg,Frown
0231B.jpg,Wide-eyed
0232B.jpg,None of the Above
0232B.jpg,None of the Above
0233B.jpg,Frown
0233B.jpg,Glance
0234B.jpg,Blank expression
0234B.jpg,Blank expression
0235B.jpg,Jaw dropped
0235B.jpg,Jaw dropped
0236B.jpg,Blank expression
0236B.jpg,Blank expression
0237B.jpg,Blank expression
0237B.jpg,Blank expression
0238B.jpg,Smile
0238B.jpg,Smile
0239B.jpg,Quizzical expression
0239B.jpg,Blank expression
0240B.jpg,Jaw dropped
0240B.jpg,Blank expression
0241B.jpg,Blank expression
0241B.jpg,Quizzical expression
0242B.jpg,Blank expression
0242B.jpg,Blank expression
0243B.jpg,Blank expression
0243B.jpg,Sneer
0244B.jpg,None of the Above
0244B.jpg,Glance
0245B.jpg,Smile
0245B.jpg,Smile
0246B.jpg,Smile
0246B.jpg,Smile
0247B.jpg,Blank expression
0247B.jpg,Blank expression
0248B.jpg,Blank expression
0248B.jpg,Jaw dropped
0249B.jpg,None of the Above
0249B.jpg,Glance
0250B.jpg,Blank expression
0250B.jpg,Blank expression
0251B.jpg,Blank expression
0251B.jpg,Blank expression
0252B.jpg,Blank expression
0252B.jpg,Glance
0253B.jpg,Blank expression
0253B.jpg,Wide-eyed
0254B.jpg,Smile
0254B.jpg,Blank expression
0255B.jpg,Frown
0255B.jpg,Frown
0256B.jpg,Smirk
0256B.jpg,Quizzical expression
0257B.jpg,Smile
