Input.image_url,Answer.setting.label
0001B.jpg,In the room
0001B.jpg,In the room
0002B.jpg,None of the Above
0002B.jpg,In the hallway
0003B.jpg,None of the Above
0003B.jpg,None of the Above
0004B.jpg,In the hallway
0004B.jpg,In the courtyard or a garden
0005B.jpg,None of the Above
0005B.jpg,In the hallway
0006B.jpg,In the room
0006B.jpg,In the hallway
0007B.jpg,In the room
0007B.jpg,In the room
0008B.jpg,In the room
0008B.jpg,In the room
0009B.jpg,In the room
0009B.jpg,In the room
0010B.jpg,In the room
0010B.jpg,In the room
0011B.jpg,In the room
0011B.jpg,In the room
0012B.jpg,In the room
0012B.jpg,In the hallway
0013B.jpg,In the room
0013B.jpg,In the room
0014B.jpg,In the room
0014B.jpg,In the room
0015B.jpg,In the room
0015B.jpg,In the room
0016B.jpg,In the room
0016B.jpg,In the room
0017B.jpg,In the room
0017B.jpg,In the room
0018B.jpg,In the room
0018B.jpg,In the room
0019B.jpg,In the room
0019B.jpg,In the hallway
0020B.jpg,In the room
0020B.jpg,In the room
0021B.jpg,In the room
0021B.jpg,In the hallway
0022B.jpg,In the room
0022B.jpg,In the room
0023B.jpg,In the hallway
0023B.jpg,In front of a building
0024B.jpg,In the courtyard or a garden
0024B.jpg,In the hallway
0025B.jpg,In the courtyard or a garden
0025B.jpg,In the hallway
0026B.jpg,In the room
0026B.jpg,In the room
0027B.jpg,In the courtyard or a garden
0027B.jpg,None of the Above
0028B.jpg,In the hallway
0028B.jpg,In the courtyard or a garden
0029B.jpg,None of the Above
0029B.jpg,None of the Above
0030B.jpg,In the room
0030B.jpg,None of the Above
0031B.jpg,In the room
0031B.jpg,In the room
0032B.jpg,In the room
0032B.jpg,In the room
0033B.jpg,In the room
0033B.jpg,In the room
0034B.jpg,In the room
0034B.jpg,In the hallway
0035B.jpg,In the room
0035B.jpg,In the room
0036B.jpg,In the park
0036B.jpg,In the hallway
0037B.jpg,None of the Above
0037B.jpg,None of the Above
0038B.jpg,In the room
0038B.jpg,In the room
0039B.jpg,In the courtyard or a garden
0039B.jpg,None of the Above
0040B.jpg,In the hallway
0040B.jpg,In the room
0041B.jpg,In the cafe
0041B.jpg,In the hallway
0042B.jpg,In the room
0042B.jpg,In the room
0043B.jpg,In the room
0043B.jpg,In the room
0044B.jpg,In the park
0044B.jpg,In the hallway
0045B.jpg,In the room
0045B.jpg,In the room
0046B.jpg,In the room
0046B.jpg,In the room
0047B.jpg,In the park
0047B.jpg,On the street
0048B.jpg,In the room
0048B.jpg,In the hallway
0049B.jpg,At the river
0049B.jpg,At the river
0050B.jpg,In the courtyard or a garden
0050B.jpg,In the hallway
0051B.jpg,In the courtyard or a garden
0051B.jpg,In the hallway
0052B.jpg,In the room
0052B.jpg,In the room
0053B.jpg,In the room
0053B.jpg,In the room
0054B.jpg,In front of a building
0054B.jpg,In front of a building
0055B.jpg,In the room
0055B.jpg,In the hallway
0056B.jpg,In the room
0056B.jpg,In the room
0057B.jpg,On the street
0057B.jpg,In the courtyard or a garden
0058B.jpg,In the cafe
0058B.jpg,In the cafe
0059B.jpg,In the room
0059B.jpg,In the room
0060B.jpg,In the room
0060B.jpg,In the room
0061B.jpg,In the room
0061B.jpg,In the room
0062B.jpg,In the room
0062B.jpg,In the room
0063B.jpg,In the room
0063B.jpg,In the room
0064B.jpg,In the room
0064B.jpg,In the hallway
0065B.jpg,In the room
0065B.jpg,In the hallway
0066B.jpg,In the room
0066B.jpg,In the room
0067B.jpg,In the hallway
0067B.jpg,On the street
0068B.jpg,In the park
0068B.jpg,In the hallway
0069B.jpg,In the room
0069B.jpg,In the hallway
0070B.jpg,In the room
0070B.jpg,On the street
0071B.jpg,In the room
0071B.jpg,In the hallway
0072B.jpg,In the room
0072B.jpg,In the hallway
0073B.jpg,In the room
0073B.jpg,In the room
0074B.jpg,In the room
0074B.jpg,In the room
0075B.jpg,In the room
0075B.jpg,In the room
0076B.jpg,In the room
0076B.jpg,In the room
0077B.jpg,None of the Above
0077B.jpg,In the hallway
0078B.jpg,In the room
0078B.jpg,In the room
0079B.jpg,In the room
0079B.jpg,In the hallway
0080B.jpg,On the street
0080B.jpg,In the hallway
0081B.jpg,In the room
0081B.jpg,In the park
0082B.jpg,In the room
0082B.jpg,In the room
0083B.jpg,In the room
0083B.jpg,In the room
0084B.jpg,In the courtyard or a garden
0084B.jpg,In the hallway
0085B.jpg,In the room
0085B.jpg,In the room
0086B.jpg,None of the Above
0086B.jpg,In the room
0087B.jpg,In the room
0087B.jpg,In the room
0088B.jpg,In the room
0088B.jpg,In the room
0089B.jpg,In the room
0089B.jpg,In the room
0090B.jpg,On the street
0090B.jpg,In the park
0091B.jpg,None of the Above
0091B.jpg,None of the Above
0092B.jpg,In the room
0092B.jpg,In the room
0093B.jpg,None of the Above
0093B.jpg,None of the Above
0094B.jpg,In the room
0094B.jpg,In the room
0095B.jpg,In the room
0095B.jpg,In the room
0096B.jpg,In the room
0096B.jpg,In the room
0097B.jpg,None of the Above
0097B.jpg,In the room
0098B.jpg,In the room
0098B.jpg,On the street
0099B.jpg,None of the Above
0099B.jpg,In the hallway
0100B.jpg,In the courtyard or a garden
0100B.jpg,In the hallway
0101B.jpg,In the room
0101B.jpg,In the room
0102B.jpg,In the room
0102B.jpg,In the hallway
0103B.jpg,In the room
0103B.jpg,In the hallway
0104B.jpg,In the room
0104B.jpg,In the hallway
0105B.jpg,In the park
0105B.jpg,In the room
0106B.jpg,In the room
0106B.jpg,In the room
0107B.jpg,In the courtyard or a garden
0107B.jpg,In the hallway
0108B.jpg,In the room
0108B.jpg,In the room
0109B.jpg,In the room
0109B.jpg,In the room
0110B.jpg,In the room
0110B.jpg,In the room
0111B.jpg,In the courtyard or a garden
0111B.jpg,In the hallway
0112B.jpg,In the room
0112B.jpg,In the room
0113B.jpg,In the room
0113B.jpg,None of the Above
0114B.jpg,In the room
0114B.jpg,In the hallway
0115B.jpg,None of the Above
0115B.jpg,In the hallway
0116B.jpg,In the room
0116B.jpg,In the room
0117B.jpg,None of the Above
0117B.jpg,In the park
0118B.jpg,None of the Above
0118B.jpg,In the hallway
0119B.jpg,In the room
0119B.jpg,In the hallway
0120B.jpg,In the room
0120B.jpg,In the room
0121B.jpg,In the room
0121B.jpg,In the park
0122B.jpg,In the room
0122B.jpg,In the room
0123B.jpg,In the room
0123B.jpg,In the courtyard or a garden
0124B.jpg,None of the Above
0124B.jpg,In the room
0125B.jpg,On the street
0125B.jpg,In the park
0126B.jpg,None of the Above
0126B.jpg,None of the Above
0127B.jpg,In the room
0127B.jpg,In the room
0128B.jpg,None of the Above
0128B.jpg,None of the Above
0129B.jpg,In the courtyard or a garden
0129B.jpg,In the park
0130B.jpg,In the room
0130B.jpg,In the room
0131B.jpg,In the room
0131B.jpg,In the hallway
0132B.jpg,In the room
0132B.jpg,In the room
0133B.jpg,In the room
0133B.jpg,In the room
0134B.jpg,In the room
0134B.jpg,In the room
0135B.jpg,In the room
0135B.jpg,In the room
0136B.jpg,In the courtyard or a garden
0136B.jpg,In the hallway
0137B.jpg,None of the Above
0137B.jpg,In the room
0138B.jpg,In the room
0138B.jpg,In the room
0139B.jpg,At the river
0139B.jpg,In the hallway
0140B.jpg,None of the Above
0140B.jpg,None of the Above
0141B.jpg,In the hallway
0141B.jpg,In the courtyard or a garden
0142B.jpg,In the room
0142B.jpg,In the room
0143B.jpg,In the room
0143B.jpg,In the room
0144B.jpg,None of the Above
0144B.jpg,On the street
0145B.jpg,None of the Above
0145B.jpg,None of the Above
0146B.jpg,None of the Above
0146B.jpg,At a clinic
0147B.jpg,In the courtyard or a garden
0147B.jpg,None of the Above
0148B.jpg,In the room
0148B.jpg,In the room
0149B.jpg,In the room
0149B.jpg,In the room
0150B.jpg,In the room
0150B.jpg,In the room
0151B.jpg,In the courtyard or a garden
0151B.jpg,In the hallway
0152B.jpg,In the room
0152B.jpg,In the room
0153B.jpg,In the room
0153B.jpg,In the room
0154B.jpg,In the room
0154B.jpg,In the hallway
0155B.jpg,In the room
0155B.jpg,In the room
0156B.jpg,In the room
0156B.jpg,In the room
0157B.jpg,In the room
0157B.jpg,In the hallway
0158B.jpg,In the room
0158B.jpg,In the room
0159B.jpg,None of the Above
0159B.jpg,In the hallway
0160B.jpg,In the courtyard or a garden
0160B.jpg,In the courtyard or a garden
0161B.jpg,In the room
0161B.jpg,In the room
0162B.jpg,In the room
0162B.jpg,In the room
0163B.jpg,In the room
0163B.jpg,In the room
0164B.jpg,In the room
0164B.jpg,None of the Above
0165B.jpg,In the hallway
0165B.jpg,In the room
0166B.jpg,In the room
0166B.jpg,In the room
0167B.jpg,In the room
0167B.jpg,In the room
0168B.jpg,In the room
0168B.jpg,In the room
0169B.jpg,In the room
0169B.jpg,In the room
0170B.jpg,In the room
0170B.jpg,In the room
0171B.jpg,In the room
0171B.jpg,In the room
0172B.jpg,In the room
0172B.jpg,In the room
0173B.jpg,In the room
0173B.jpg,None of the Above
0174B.jpg,In the room
0174B.jpg,In the room
0175B.jpg,At the river
0175B.jpg,In the hallway
0176B.jpg,In the room
0176B.jpg,In the room
0177B.jpg,None of the Above
0177B.jpg,None of the Above
0178B.jpg,In the room
0178B.jpg,In the room
0179B.jpg,In the room
0179B.jpg,In the room
0180B.jpg,In the room
0180B.jpg,In the room
0181B.jpg,In the courtyard or a garden
0181B.jpg,In the hallway
0182B.jpg,In the room
0182B.jpg,In the hallway
0183B.jpg,None of the Above
0183B.jpg,None of the Above
0184B.jpg,In the room
0184B.jpg,In the room
0185B.jpg,None of the Above
0185B.jpg,In the room
0186B.jpg,In the room
0186B.jpg,In the hallway
0187B.jpg,None of the Above
0187B.jpg,None of the Above
0188B.jpg,In the room
0188B.jpg,In the hallway
0189B.jpg,In the room
0189B.jpg,None of the Above
0190B.jpg,None of the Above
0190B.jpg,In the hallway
0191B.jpg,In the room
0191B.jpg,In the hallway
0192B.jpg,In the room
0192B.jpg,None of the Above
0193B.jpg,In the park
0193B.jpg,In the park
0194B.jpg,In the cafe
0194B.jpg,In the room
0195B.jpg,None of the Above
0195B.jpg,In the courtyard or a garden
0196B.jpg,In the hallway
0196B.jpg,On the street
0197B.jpg,In the room
0197B.jpg,In the room
0198B.jpg,In the room
0198B.jpg,In the room
0199B.jpg,On the street
0199B.jpg,In the room
0200B.jpg,In the room
0200B.jpg,In the hallway
0201B.jpg,None of the Above
0201B.jpg,None of the Above
0202B.jpg,In the hallway
0202B.jpg,In the room
0203B.jpg,In the room
0203B.jpg,In the room
0204B.jpg,In the courtyard or a garden
0204B.jpg,In the courtyard or a garden
0205B.jpg,On the street
0205B.jpg,In the hallway
0206B.jpg,In the hallway
0206B.jpg,In the courtyard or a garden
0207B.jpg,In the room
0207B.jpg,In the room
0208B.jpg,None of the Above
0208B.jpg,In the hallway
0209B.jpg,In the courtyard or a garden
0209B.jpg,None of the Above
0210B.jpg,In the park
0210B.jpg,In the hallway
0211B.jpg,In the room
0211B.jpg,In the room
0212B.jpg,In the room
0212B.jpg,In the room
0213B.jpg,In the room
0213B.jpg,In the hallway
0214B.jpg,In the room
0214B.jpg,In the room
0215B.jpg,In the room
0215B.jpg,In the room
0216B.jpg,In the hallway
0216B.jpg,In the courtyard or a garden
0217B.jpg,In the room
0217B.jpg,In the room
0218B.jpg,In the room
0218B.jpg,In the room
0219B.jpg,In the room
0219B.jpg,In the hallway
0220B.jpg,In the hallway
0220B.jpg,In the room
0221B.jpg,In the room
0221B.jpg,In the room
0222B.jpg,At the river
0222B.jpg,In the hallway
0223B.jpg,In the room
0223B.jpg,In the room
0224B.jpg,In the room
0224B.jpg,In the room
0225B.jpg,In the hallway
0225B.jpg,In the hallway
0226B.jpg,In the room
0226B.jpg,In the cafe
0227B.jpg,In the room
0227B.jpg,In the hallway
0228B.jpg,In the room
0228B.jpg,In the hallway
0229B.jpg,In the room
0229B.jpg,In the hallway
0230B.jpg,None of the Above
0230B.jpg,In the room
0231B.jpg,In the room
0231B.jpg,In the hallway
0232B.jpg,In the courtyard or a garden
0232B.jpg,In the hallway
0233B.jpg,At the river
0233B.jpg,None of the Above
0234B.jpg,In the courtyard or a garden
0234B.jpg,In the room
0235B.jpg,At the river
0235B.jpg,In the hallway
0236B.jpg,In the room
0236B.jpg,In the room
0237B.jpg,At the river
0237B.jpg,In the hallway
0238B.jpg,In the room
0238B.jpg,In the room
0239B.jpg,In the room
0239B.jpg,In the room
0240B.jpg,In the room
0240B.jpg,In the room
0241B.jpg,In the room
0241B.jpg,In the room
0242B.jpg,In the room
0242B.jpg,None of the Above
0243B.jpg,In the room
0243B.jpg,In the room
0244B.jpg,In the courtyard or a garden
0244B.jpg,In the hallway
0245B.jpg,In the room
0245B.jpg,In the room
0246B.jpg,In the courtyard or a garden
0246B.jpg,In the hallway
0247B.jpg,In the hallway
0247B.jpg,In the room
0248B.jpg,In the hallway
0248B.jpg,None of the Above
0249B.jpg,In the room
0249B.jpg,In the hallway
0250B.jpg,In the room
0250B.jpg,In the room
0251B.jpg,In the room
0251B.jpg,In the room
0252B.jpg,In the room
0252B.jpg,In the room
0253B.jpg,In the room
0253B.jpg,In the room
0254B.jpg,In the room
0254B.jpg,In the room
0255B.jpg,In the room
0255B.jpg,In the room
0256B.jpg,In the room
0256B.jpg,In the hallway
0257B.jpg,In the room
0257B.jpg,In the hallway
0258B.jpg,In the room
0258B.jpg,In the room
0259B.jpg,In the room
0259B.jpg,In the room
0260B.jpg,None of the Above
0260B.jpg,In the hallway
0261B.jpg,In the park
0261B.jpg,In the courtyard or a garden
0262B.jpg,In the room
0262B.jpg,In the hallway
0263B.jpg,In the park
0263B.jpg,In the hallway
0264B.jpg,In the room
0264B.jpg,In the hallway
0265B.jpg,In the park
0265B.jpg,In the courtyard or a garden
0266B.jpg,In the room
0266B.jpg,In the room
0267B.jpg,In the hallway
0267B.jpg,In the room
0268B.jpg,In the room
0268B.jpg,In the room
0269B.jpg,In the room
0269B.jpg,In the room
0270B.jpg,In front of a building
0270B.jpg,In front of a building
0271B.jpg,In the room
0271B.jpg,In the room
0272B.jpg,In the room
0272B.jpg,In the room
0273B.jpg,In the room
0273B.jpg,In the room
0274B.jpg,In the hallway
0274B.jpg,On the street
0275B.jpg,In the room
0275B.jpg,In the hallway
0276B.jpg,In the room
0276B.jpg,In the room
0277B.jpg,In the room
0277B.jpg,In the room
0278B.jpg,On the street
0278B.jpg,In the hallway
0279B.jpg,In the room
0279B.jpg,In the room
0280B.jpg,In the room
0280B.jpg,In the room
0281B.jpg,In the park
0281B.jpg,In the hallway
0282B.jpg,In the room
0282B.jpg,In the hallway
0283B.jpg,In the cafe
0283B.jpg,In the hallway
0284B.jpg,On the street
