Input.image_url,Answer.style.label
0001B.jpg,Classical Art
0001B.jpg,Impressionism
0002B.jpg,Classical Art
0002B.jpg,Classical Art
0003B.jpg,Impressionism
0003B.jpg,Classical Art
0004B.jpg,Classical Art
0004B.jpg,Classical Art
0005B.jpg,Classical Art
0005B.jpg,Classical Art
0006B.jpg,Classical Art
0006B.jpg,Classical Art
0007B.jpg,Classical Art
0007B.jpg,Classical Art
0008B.jpg,None of the Above
0008B.jpg,Classical Art
0009B.jpg,Classical Art
0009B.jpg,Classical Art
0010B.jpg,Classical Art
0010B.jpg,Realism
0011B.jpg,Realism
0011B.jpg,Classical Art
0012B.jpg,"Egypt, Greece and Rome"
0012B.jpg,Classical Art
0013B.jpg,Classical Art
0013B.jpg,Classical Art
0014B.jpg,Classical Art
0014B.jpg,Classical Art
0015B.jpg,Realism
0015B.jpg,Realism
0016B.jpg,Classical Art
0016B.jpg,Classical Art
0017B.jpg,Realism
0017B.jpg,Realism
0018B.jpg,Classical Art
0018B.jpg,Classical Art
0019B.jpg,Realism
0019B.jpg,Classical Art
0020B.jpg,Classical Art
0020B.jpg,Realism
0021B.jpg,Impressionism
0021B.jpg,Impressionism
0022B.jpg,Realism
0022B.jpg,Impressionism
0023B.jpg,Realism
0023B.jpg,Impressionism
0024B.jpg,None of the Above
0024B.jpg,Modernism
0025B.jpg,Realism
0025B.jpg,Impressionism
0026B.jpg,Realism
0026B.jpg,Classical Art
0027B.jpg,Impressionism
0027B.jpg,Modernism
0028B.jpg,None of the Above
0028B.jpg,Impressionism
0029B.jpg,Impressionism
0029B.jpg,None of the Above
0030B.jpg,Classical Art
0030B.jpg,Classical Art
0031B.jpg,Impressionism
0031B.jpg,Modernism
0032B.jpg,Classical Art
0032B.jpg,Classical Art
0033B.jpg,Classical Art
0033B.jpg,Classical Art
0034B.jpg,Classical Art
0034B.jpg,Impressionism
0035B.jpg,Classical Art
0035B.jpg,Classical Art
0036B.jpg,Classical Art
0036B.jpg,Classical Art
0037B.jpg,Realism
0037B.jpg,Impressionism
0038B.jpg,None of the Above
0038B.jpg,Classical Art
0039B.jpg,Classical Art
0039B.jpg,Classical Art
0040B.jpg,Realism
0040B.jpg,Realism
0041B.jpg,Modernism
0041B.jpg,Modernism
0042B.jpg,Classical Art
0042B.jpg,Classical Art
0043B.jpg,Classical Art
0043B.jpg,Classical Art
0044B.jpg,Modernism
0044B.jpg,Impressionism
0045B.jpg,Impressionism
0045B.jpg,Impressionism
0046B.jpg,Classical Art
0046B.jpg,Classical Art
0047B.jpg,Impressionism
0047B.jpg,Impressionism
0048B.jpg,Modernism
0048B.jpg,Modernism
0049B.jpg,Impressionism
0049B.jpg,Impressionism
0050B.jpg,Modernism
0050B.jpg,Impressionism
0051B.jpg,Classical Art
