Input.image_url,Answer.weather.label
0001B.jpg,None of the Above
0001B.jpg,Cold
0002B.jpg,Sunny
0002B.jpg,Foggy
0003B.jpg,Sunny
0003B.jpg,Sunny
0004B.jpg,Cloudy
0004B.jpg,Cloudy
0005B.jpg,None of the Above
0005B.jpg,None of the Above
0006B.jpg,None of the Above
0006B.jpg,None of the Above
0007B.jpg,Stormy
0007B.jpg,None of the Above
0008B.jpg,None of the Above
0008B.jpg,None of the Above
0009B.jpg,Cloudy
0009B.jpg,Cloudy
0010B.jpg,Rainy
0010B.jpg,None of the Above
0011B.jpg,Sunny
0011B.jpg,Sunny
0012B.jpg,Sunny
0012B.jpg,None of the Above
0013B.jpg,Windy
0013B.jpg,Cloudy
0014B.jpg,None of the Above
0014B.jpg,None of the Above
0015B.jpg,None of the Above
0015B.jpg,Cloudy
0016B.jpg,None of the Above
0016B.jpg,Cold
0017B.jpg,None of the Above
0017B.jpg,Cold
0018B.jpg,Sunny
0018B.jpg,Cold
0019B.jpg,None of the Above
0019B.jpg,Cloudy
0020B.jpg,None of the Above
0020B.jpg,Cold
0021B.jpg,Rainy
0021B.jpg,None of the Above
0022B.jpg,None of the Above
0022B.jpg,None of the Above
0023B.jpg,Cloudy
0023B.jpg,Cloudy
0024B.jpg,Cloudy
0024B.jpg,Cloudy
0025B.jpg,Sunny
0025B.jpg,Sunny
0026B.jpg,None of the Above
0026B.jpg,None of the Above
0027B.jpg,Sunny
0027B.jpg,Hot
0028B.jpg,Cloudy
0028B.jpg,None of the Above
0029B.jpg,Sunny
0029B.jpg,None of the Above
0030B.jpg,Hot
0030B.jpg,Sunny
0031B.jpg,None of the Above
0031B.jpg,Rainy
0032B.jpg,None of the Above
0032B.jpg,Sunny
0033B.jpg,None of the Above
0033B.jpg,Rainy
0034B.jpg,None of the Above
0034B.jpg,Cloudy
0035B.jpg,None of the Above
0035B.jpg,None of the Above
0036B.jpg,None of the Above
0036B.jpg,None of the Above
0037B.jpg,Sunny
0037B.jpg,Cloudy
0038B.jpg,None of the Above
0038B.jpg,None of the Above
0039B.jpg,Sunny
0039B.jpg,Rainy
0040B.jpg,Cloudy
0040B.jpg,Cloudy
0041B.jpg,Stormy
0041B.jpg,None of the Above
0042B.jpg,None of the Above
0042B.jpg,None of the Above
0043B.jpg,None of the Above
0043B.jpg,None of the Above
0044B.jpg,Sunny
0044B.jpg,Sunny
0045B.jpg,None of the Above
0045B.jpg,None of the Above
0046B.jpg,Sunny
0046B.jpg,Sunny
0047B.jpg,Sunny
0047B.jpg,Sunny
0048B.jpg,None of the Above
0048B.jpg,Sunny
0049B.jpg,Sunny
0049B.jpg,Sunny
0050B.jpg,Stormy
0050B.jpg,Sunny
0051B.jpg,Sunny
0051B.jpg,Hot
0052B.jpg,Cloudy
0052B.jpg,Rainy
0053B.jpg,Sunny
0053B.jpg,None of the Above
0054B.jpg,Sunny
0054B.jpg,Sunny
0055B.jpg,Sunny
0055B.jpg,Cloudy
0056B.jpg,None of the Above
0056B.jpg,Cloudy
0057B.jpg,Sunny
0057B.jpg,Sunny
0058B.jpg,None of the Above
0058B.jpg,Cloudy
0059B.jpg,None of the Above
0059B.jpg,None of the Above
0060B.jpg,Stormy
0060B.jpg,None of the Above
0061B.jpg,Foggy
0061B.jpg,None of the Above
0062B.jpg,Cloudy
0062B.jpg,None of the Above
0063B.jpg,None of the Above
0063B.jpg,Hot
0064B.jpg,Rainy
0064B.jpg,None of the Above
0065B.jpg,Sunny
0065B.jpg,Sunny
0066B.jpg,None of the Above
0066B.jpg,Sunny
0067B.jpg,Sunny
0067B.jpg,Cloudy
0068B.jpg,Sunny
0068B.jpg,Sunny
0069B.jpg,Hot
0069B.jpg,None of the Above
0070B.jpg,Hot
0070B.jpg,None of the Above
0071B.jpg,Hot
0071B.jpg,Sunny
0072B.jpg,None of the Above
0072B.jpg,None of the Above
0073B.jpg,Sunny
0073B.jpg,None of the Above
0074B.jpg,Sunny
0074B.jpg,Cloudy
0075B.jpg,Stormy
0075B.jpg,None of the Above
0076B.jpg,None of the Above
0076B.jpg,None of the Above
0077B.jpg,Sunny
0077B.jpg,Rainy
0078B.jpg,Sunny
0078B.jpg,Sunny
0079B.jpg,None of the Above
0079B.jpg,None of the Above
0080B.jpg,Cloudy
0080B.jpg,Cloudy
0081B.jpg,Sunny
0081B.jpg,Sunny
0082B.jpg,Windy
0082B.jpg,None of the Above
0083B.jpg,Sunny
0083B.jpg,Cloudy
0084B.jpg,Cloudy
0084B.jpg,Sunny
0085B.jpg,None of the Above
0085B.jpg,None of the Above
0086B.jpg,None of the Above
0086B.jpg,Stormy
0087B.jpg,None of the Above
0087B.jpg,Sunny
0088B.jpg,Sunny
0088B.jpg,Sunny
0089B.jpg,Sunny
0089B.jpg,Sunny
0090B.jpg,Stormy
0090B.jpg,Sunny
0091B.jpg,None of the Above
0091B.jpg,Sunny
0092B.jpg,Cold
0092B.jpg,Cold
0093B.jpg,None of the Above
0093B.jpg,None of the Above
0094B.jpg,None of the Above
0094B.jpg,Sunny
0095B.jpg,None of the Above
0095B.jpg,None of the Above
0096B.jpg,Sunny
0096B.jpg,None of the Above
0097B.jpg,None of the Above
0097B.jpg,Rainy
0098B.jpg,Cloudy
0098B.jpg,None of the Above
0099B.jpg,Windy
0099B.jpg,Cloudy
0100B.jpg,Sunny
0100B.jpg,Sunny
0101B.jpg,None of the Above
0101B.jpg,Cloudy
0102B.jpg,None of the Above
0102B.jpg,None of the Above
0103B.jpg,None of the Above
0103B.jpg,None of the Above
0104B.jpg,Sunny
0104B.jpg,None of the Above
0105B.jpg,Cloudy
0105B.jpg,Stormy
0106B.jpg,None of the Above
0106B.jpg,None of the Above
0107B.jpg,Sunny
0107B.jpg,Cloudy
0108B.jpg,Cloudy
0108B.jpg,None of the Above
0109B.jpg,None of the Above
0109B.jpg,None of the Above
0110B.jpg,Sunny
0110B.jpg,Sunny
0111B.jpg,Sunny
0111B.jpg,Sunny
0112B.jpg,None of the Above
0112B.jpg,Sunny
0113B.jpg,None of the Above
0113B.jpg,None of the Above
0114B.jpg,Cloudy
0114B.jpg,None of the Above
0115B.jpg,Sunny
0115B.jpg,None of the Above
0116B.jpg,Sunny
0116B.jpg,None of the Above
0117B.jpg,Sunny
0117B.jpg,Sunny
0118B.jpg,Sunny
0118B.jpg,None of the Above
0119B.jpg,Cloudy
0119B.jpg,None of the Above
0120B.jpg,None of the Above
0120B.jpg,None of the Above
0121B.jpg,Sunny
0121B.jpg,Sunny
0122B.jpg,None of the Above
0122B.jpg,Foggy
0123B.jpg,Sunny
0123B.jpg,Cloudy
0124B.jpg,None of the Above
0124B.jpg,None of the Above
0125B.jpg,Sunny
0125B.jpg,Sunny
0126B.jpg,Hot
0126B.jpg,Sunny
0127B.jpg,Sunny
0127B.jpg,None of the Above
0128B.jpg,None of the Above
0128B.jpg,None of the Above
0129B.jpg,Stormy
0129B.jpg,Sunny
0130B.jpg,Cloudy
0130B.jpg,Sunny
0131B.jpg,None of the Above
0131B.jpg,None of the Above
0132B.jpg,None of the Above
0132B.jpg,None of the Above
0133B.jpg,Stormy
0133B.jpg,None of the Above
0134B.jpg,None of the Above
0134B.jpg,Rainy
0135B.jpg,Cloudy
0135B.jpg,Rainy
0136B.jpg,Sunny
0136B.jpg,Cloudy
0137B.jpg,Sunny
0137B.jpg,Cloudy
0138B.jpg,Stormy
0138B.jpg,None of the Above
0139B.jpg,Sunny
0139B.jpg,Sunny
0140B.jpg,Hot
0140B.jpg,Stormy
0141B.jpg,Cloudy
0141B.jpg,Sunny
0142B.jpg,None of the Above
0142B.jpg,Sunny
0143B.jpg,None of the Above
0143B.jpg,None of the Above
0144B.jpg,None of the Above
0144B.jpg,Sunny
0145B.jpg,Cloudy
0145B.jpg,None of the Above
0146B.jpg,Stormy
0146B.jpg,Cloudy
0147B.jpg,Stormy
0147B.jpg,Sunny
0148B.jpg,None of the Above
0148B.jpg,None of the Above
0149B.jpg,Hot
0149B.jpg,None of the Above
0150B.jpg,Hot
0150B.jpg,None of the Above
0151B.jpg,Sunny
0151B.jpg,Sunny
0152B.jpg,None of the Above
0152B.jpg,Stormy
0153B.jpg,None of the Above
0153B.jpg,Hot
0154B.jpg,None of the Above
0154B.jpg,None of the Above
0155B.jpg,None of the Above
0155B.jpg,Cloudy
0156B.jpg,Sunny
0156B.jpg,Sunny
0157B.jpg,Sunny
0157B.jpg,Stormy
0158B.jpg,None of the Above
0158B.jpg,Sunny
0159B.jpg,None of the Above
0159B.jpg,Hot
0160B.jpg,Sunny
0160B.jpg,Sunny
0161B.jpg,Cloudy
0161B.jpg,Cold
0162B.jpg,Rainy
0162B.jpg,Cold
0163B.jpg,None of the Above
0163B.jpg,None of the Above
0164B.jpg,None of the Above
0164B.jpg,Hot
0165B.jpg,Sunny
0165B.jpg,Sunny
0166B.jpg,None of the Above
0166B.jpg,None of the Above
0167B.jpg,None of the Above
0167B.jpg,Cloudy
0168B.jpg,None of the Above
0168B.jpg,None of the Above
0169B.jpg,None of the Above
0169B.jpg,Cloudy
0170B.jpg,None of the Above
0170B.jpg,Stormy
0171B.jpg,None of the Above
0171B.jpg,None of the Above
0172B.jpg,Rainy
0172B.jpg,None of the Above
0173B.jpg,None of the Above
0173B.jpg,None of the Above
0174B.jpg,None of the Above
0174B.jpg,Sunny
0175B.jpg,Sunny
0175B.jpg,Sunny
0176B.jpg,None of the Above
0176B.jpg,Cloudy
0177B.jpg,Stormy
0177B.jpg,None of the Above
0178B.jpg,Sunny
0178B.jpg,Hot
0179B.jpg,Sunny
0179B.jpg,None of the Above
0180B.jpg,None of the Above
0180B.jpg,None of the Above
0181B.jpg,None of the Above
0181B.jpg,Cloudy
0182B.jpg,None of the Above
0182B.jpg,Sunny
0183B.jpg,None of the Above
0183B.jpg,Rainy
0184B.jpg,None of the Above
0184B.jpg,None of the Above
0185B.jpg,None of the Above
0185B.jpg,None of the Above
0186B.jpg,None of the Above
0186B.jpg,None of the Above
0187B.jpg,Cloudy
0187B.jpg,Sunny
0188B.jpg,Sunny
0188B.jpg,None of the Above
0189B.jpg,Cold
0189B.jpg,Rainy
0190B.jpg,None of the Above
0190B.jpg,Cold
0191B.jpg,Windy
0191B.jpg,Sunny
0192B.jpg,None of the Above
0192B.jpg,Sunny
0193B.jpg,Sunny
0193B.jpg,Sunny
0194B.jpg,Foggy
0194B.jpg,None of the Above
0195B.jpg,Sunny
0195B.jpg,Cloudy
0196B.jpg,Cloudy
0196B.jpg,Rainy
0197B.jpg,Cold
0197B.jpg,Rainy
0198B.jpg,None of the Above
0198B.jpg,Sunny
0199B.jpg,None of the Above
0199B.jpg,Cloudy
0200B.jpg,None of the Above
0200B.jpg,Rainy
0201B.jpg,None of the Above
0201B.jpg,Cloudy
0202B.jpg,Cloudy
0202B.jpg,Foggy
0203B.jpg,None of the Above
0203B.jpg,Sunny
0204B.jpg,Cloudy
0204B.jpg,Windy
0205B.jpg,Cold
0205B.jpg,None of the Above
0206B.jpg,Sunny
0206B.jpg,Cloudy
0207B.jpg,None of the Above
0207B.jpg,None of the Above
0208B.jpg,Stormy
0208B.jpg,Sunny
0209B.jpg,Cloudy
0209B.jpg,Windy
0210B.jpg,Sunny
0210B.jpg,Sunny
0211B.jpg,None of the Above
0211B.jpg,None of the Above
0212B.jpg,None of the Above
0212B.jpg,None of the Above
0213B.jpg,Sunny
0213B.jpg,Sunny
0214B.jpg,None of the Above
0214B.jpg,Rainy
0215B.jpg,None of the Above
0215B.jpg,None of the Above
0216B.jpg,None of the Above
0216B.jpg,Sunny
0217B.jpg,None of the Above
0217B.jpg,Cloudy
0218B.jpg,None of the Above
0218B.jpg,Windy
0219B.jpg,Sunny
0219B.jpg,Sunny
0220B.jpg,Windy
0220B.jpg,Sunny
0221B.jpg,None of the Above
0221B.jpg,None of the Above
0222B.jpg,Cloudy
0222B.jpg,Sunny
0223B.jpg,Sunny
0223B.jpg,Hot
0224B.jpg,None of the Above
0224B.jpg,Sunny
0225B.jpg,Stormy
0225B.jpg,Cloudy
0226B.jpg,None of the Above
0226B.jpg,Cloudy
0227B.jpg,Cloudy
0227B.jpg,None of the Above
0228B.jpg,None of the Above
0228B.jpg,None of the Above
